Reviewer,Date,Review
ahmad faizal,a year ago,It's getting quite expensive nowadays
Edzmir Redzuan,a year ago,"Simply the best. No doubt bout it. With it's signature rice texture & sambal taste, u can never go wrong"
Nur Kuala Lumpur,a year ago,Best nasi lemak..once u try u love it
Aliff Damieann,a year ago,Nasi lemak dia sgt sdp...nasinya sgt2 best dan sambal ...harga pn not bad....
Rajiv Krishna,a year ago,"Simple, no frills. Great food - fresh and tasty."
hanani jamal,a year ago,"Price wise a bit high maybe bcoz in the middle of kl. Taste okay. Not really great, sambal quite sweet but not spicy. Good for foreigners."
Fariza Hanis (PM Dr.) Abdul Razak,a year ago,Second time eating their nasi lemak. They have improved their payment methods.
Haziq Radzi,a year ago,"I have come to this place a few times already. Before and after renovation. Tbh, it was an okay restaurant. Not that great, but not that bad either. The taste of the Nasi Lemak with Ayam Goreng and Bergedil is quite delicious, but I have tasted better Nasi Lemak at other restaurants. The sambal is not spicy but still acceptable. The price is quite expensive for a quite average Nasi Lemak. Overall, it's an okay experience eating at this restaurant."
Lois CH,a year ago,"come here bcoz of >6000 google reviews, rasa so-so sahaja, telur tak fresh nampak dari bentuk, parking paling murah RM3 jalan sama, 8am dah ramai orang. Ayam rendamg terlalu masin, RM10 nssi lemak + ayam rendang ok cuma rasa tak sedap seperti yang disangka."
Rayyan shah Famili,a year ago,Lauk tidak banyak pilihan tetapi sedap.
Maoumy djigal,a year ago,"Makanan sejuk, bahagian kecil, tidak menyenangkan"
Seher Mohsin,a year ago,So so so good.The kind of place that makes you understand why people rave about Malaysian food
Ni Adila,a year ago,"Very nice sambal!! But this nasi lemak feels like nasi lemak kantin !! There are so many lauk for nasi lemak ! I tried bergedil sedap sngt, u will shock with the size of bergedil hahah You guys should try! Good customer service!"
Rohazat Ariffin,a year ago,Lovely nasi lemak…
Epal Haryadi,a year ago,"Menurut saya nasi lemak wanjo ini dia punya rasa tersendri, rasa dia tak pasaran dia punya rasa khas terutama dari wangi nasi dia.Sambalnya saya tak berapa suka sangat sebab dia ada manis-manis sikit, saya tak berapa suka dengan sambal yang manis 7/10.Rendang daging dia menurut saya sedap, saya suka tapi daging dia agak karas sikit 8,5/10.Kebersihan ok,  walaupon customer ramai meraka tatap jaga kebersihan. tandas pon bersih dan tak berbau 9/10.Service ok"
Maqhzy,a year ago,Nasi lemak is good. Maybe because of the trend or viral that made the place popular
Sam B,a year ago,A lack of meat on the food
TY C,a year ago,"A out-of-the-way, road-side, tented shop hidden in a small side street. Bright and clean, but the food isn't worth traveling down for. The nasi lemak rice is fragrant, but nothing outstanding. The sambal is sweet and nice."
Asiah Yusuf,a year ago,Datang sebab selalu dgr org kata. Ada rasa hangit. Mungkin hari ni ja. Tapi tak patut la bagi Pelangan makan kalau hangit kann....dari segi lauk semua sedap2 Alhamdulillah.
Bobby Ratnam,a year ago,"Nasi lemak is good.Sambal is abit on the sweeter side. Not too spicy.Price is slightly higher.Lots of tables to be seated, extra rm1 each for Aircond seating table place."
Alladin Zabri,a year ago,Nasi dia ok... macam nasi kukus... sedap jugak... harga dia mahal sikit... bagi aku dah biasa dengan Nasi Lemak... mungkin lokasi yang strategik dan tempat yang bersih. menarik pengunjung.itu gambar selepas masukkan nasi..rm 13 kali teh o ais
Kharil Ashidi Abdul Jabar,a year ago,"The sambal is not cooked right, the rice are lacked of coconut milk, and the price is truly a ""kayangan"" price. Over RM50 just for 3 people who took fried chicken for my daughtet, ""limpa"" for me and squid for my wife, with only 2 drinks, the price is really overpriced. That will be my first and last to visit."
H H,a year ago,Nasi sedap kena dengan sambal. Cuma portion sikit sangat tak kene dengan harga and ikan bilis tu kalau disekalikan dengan sambal lagi sedap..kalau datang peek hour memang beratur lerr..
Wan Afiq,a year ago,Oklah rasa macam nasi lemak..
Lala Lola,a year ago,"Datang weekend sabtu, 13/11/22 jam 8:30am. Park sedikit susah. Beratur panjang tapi servis cepat. Ada 2 lane. 1 untuk dine in. Belah kanan untuk take away. Beratur pilih makanan terus bayar."
Ideal Peninsula,a year ago,Nasi lemak taste like a plain rice. Sambal too sweet. Anchovies given too little and u must pay for the boiled egg that supposed to be free. Not worth it at all.. too pricey too.. should improve on your service
Kamarul Anuar,a year ago,Konsep layan diri. Tiada service ke meja. Ada dua baris untuk beratur. Satu UTK dine in dan satu bungkus. Eloknya dua Line boleh UTK dine in dan bungkus sbb Line UTK dine in que. Sambal nasi lemak memang padu. Cuba baru tahu. Perlu install POS sistem UTK cepatkan order air. Slip order akan keluar di tempat air mcm kedai mamak tu.
Ahmad Syafiq,a year ago,"Nasi lemak sedap, beli ptg. Esok paginya masih tk basi, terbaikk"
Danny Didie,a year ago,Tempat bersih Dan next time boleh dtg lg
Nurul Atiqah,a year ago,Tried this last night. Didn’t have to queue for long. The service was smooth. The rice was fragrant and tasted fine. The chicken was quite overcooked and the sambal was sweet for me.
nur athirah azmi,a year ago,Nasi lemak yang sedap dengan harga berpatutan. Would probably come again soon
Yusni Yusof,a year ago,"Tetiba sedap sangat nasi lemak wanjo ni. Harga kayangan sikit lah, tapi sedap. Kenyang sampai ke petang. I makan sambal kerang n limpa dgn teh ais. Parking susah, i ambik parking berbayar depan wanjo bayar rm5. Buka sampai malam. Recommended and will repeat again."
남경현,a year ago,best Nasi Lemak i've ever tried in KL
Gabriela Intani Putri,a year ago,Walking distance from LRT kampung baru.Harga yang sangat berpatutan.
Azrul Hizam,a year ago,"At the moment my fav nasi lemak in kl 😁 not for the feint hearted. If you are on the strict diet steer clear of this place 🤣. For the rest of us come for the tasty nasi lemak and dishes available. I had the squid and cockles sambal, the others had chicken sambal and everything was delicious."
Eyma Othman,a year ago,Tempat yang selesa.. space luas dan nasi lemak yang sedap.Tempat letak kereta: Ade tempat yg parking entry rm5.Kebolehaksesan kerusi roda: Lantai depan landai sesuai utk berkerusi roda
Ariffin Khalid,a year ago,Ok 👍🏾. Sedap normal. Harga biasa
mandu,a year ago,"Authentic Nasi Lemak, portion is huge and fresh!"
MOHD KHAIRIL IKQWAN HUSIN,a year ago,"Satu nama yang cukup gah dan sinonim dengan Kg Baru. Pantas, sedap, ketagih sesuai dengan Nasi Lemak Wanjo Kg Baru. Tak lengkap datang KL tak lepak pekena Nasi Lemak kat sini."
Soliha Zainal Abidin,a year ago,Good foodddd. Service super fast drink are good too 
mr hizam,a year ago,"sedap nasinyer dan kawasan bersih, resit ja takda, kalau tak dah bagi full 5"
Dayana Zuraidi,a year ago,"Nasi lemak dia sangat rasa santan but sedap aje.. lauk banyak disediakan and kedai pun dalam keadaan yang agak bersih.. sangat friendly staffnya.. staff urus kerja pun nampak efficient.. overall, boleh repeat 😁👌"
Suhada Hamzah,a year ago,"Maaf lah review jujur..orang negeri lain saja nak try kot memang sedap sebab tengok beratur panjang sangat..memang tak sedap rasa tak berbaloi dengan harga,makan sekali cukup lah buat raso raso..kedai bersih staf friendly..cuma makanan tu lah kurang memuaskan."
Ain Kalam,a year ago,"Wanjo memang bagus.. tempat luas, bersih. Hari ini I nak bfast sini, ada customer, dia ambik semua kerusi dari another table.. Crew Wanjo datang bawa kerusi spare gantikan kerusi² tu. Wahh I sangat kagum 😁..tak pernah lagi restoran² lagi buat macam ni.. Sangat customer centric!! Syabas"
Sharifah Sarizeah Syed Hassan,a year ago,Food was delicious
Iman Shuhaimi,a year ago,sedap weh tapi nasi kena mintak lebih sikit
Abdul Ghafar Arshad,a year ago,Delicious nasi lemak with great atmosphere
Marcus Lau,a year ago,"The sambal is overly salty. Overall taste is just average, a lot of roadside nasi lemak at other places are much better than wanjo. The reviewers have over rated wanjo. I also ordered an additional small bowl of plain rice, they charged RM3. This is extremely pricey.  Will not go back again.Parking: extremely difficult to get a place to park"
Ahmad Faris Hakim,a year ago,The sambal tasted unique! And very delicious! The price is standard for food around KL. Worth
Ahmad Rizal Hashim,a year ago,terbaik.Tempat letak kereta: Tempat letak kenderaan berbayar disediakan
Wan Kompang,a year ago,Sambal kurang sedap
Naim Omar,a year ago,Nasi Lemak Wanjo Kampung Baru ni memang padu. Sambal dia pedas-pedas manis sikit tapi portion nasi dia sikit gak tally dengan portion lauk yang banyak terpaksalah mintak extra sesenduk nasi 😂 Lauk pauk dia memang tiptop 👍🏻⭐️⭐️⭐️⭐️⭐️
Daniel Ha,a year ago,"The food is delicious that I am satisfied, but it is too unfortunate that there is a rude and brutal employee. This ponytail guy frowned his face and threw a cat away violently from the restaurant. Not a place ever I would visit again though I had visited several times."
Wan Affendy (Andy),a year ago,"Am happiest here. Sotong, kerang and rendang daging. The best Nasi Lemak. And one of the oldest I know."
Carmen K,a year ago,"Genuinely do not understand the hype over this. Rice had close to zero notes of santan, beef rendang was tough and chewy, and sambal was meh. Sprinkling of ikan bilis and kacang. Only good thing was service was efficient and polite."
azwa muzzamir Taarif,a year ago,"I think the food okay boleh la especially the sambal kerang because they used fresh clam instead of frozen one. Must use grab to go here because its to difficult to find parking space during peak hour especially on lunch and dinner time, come early and park in front of the restaurant."
wardati ahmad,a year ago,Limited parking space but accessible..
adam Ibrahim,a year ago,Good nasi lemak served here..
Ery el,a year ago,"For me it's kinda overrated because to me the sambal was ordinary...but serve many kind of lauk too.Tempat letak kereta: Very crowded area, must pay to park at the parking area nearby"
Kareem Ibrahim,a year ago,The Nasi lemak was overpriced and not that good as the chicken was cold and one more thing take care not to dine  in their air conditioning area as they will charge you RM 1 per person! Avoid eating here as there are better options around
Jerry Oh,a year ago,Food was nice but a little costly. There are also some other eateries nearby.
malek husaini,a year ago,Memang sedap. Kalau datang lewat queue panjang sikit tapi servis laju. Lauk pelbagai pastikan ambil begedil. Makan kat ruang ada aircond tambah RM1/person.
najib dayan ali aida ros,a year ago,Ok la tp makin mahal skrg..nasi lemak tk lengkap tanpa kacang.
Sivaraman Allapen,a year ago,For me the sambal was way to sweet and the price for the portion is expensive.
Ty C,a year ago,Popular Nasi lemak restaurant at Kampung Baru. Very efficient in serving customers despite long queue in the morning and clean. Parking is a challenge. Better go there via Kampung Baru LRT which just 8 minutes walk.
Young Afeeqshafeeque,a year ago,Tempat letak kereta: Difficult  to find and park.Mesra kanak-kanak: Friendly
Ariff Amat,a year ago,Average food with not a lot of choices
NAVINDRAN RAJENDRAN,a year ago,"Not so hype,the food was okay² but the environment was good .btw the sambal was kinda sweet for me😅"
Juan H (MjMax15),a year ago,1st time dine here. purposely nasi lemak with lots lauk to choose. delicious and spacious area. parking is limited for road side.
Liyana huldschinsky,a year ago,Was ok. Efficient. Systematic. Not that long if a queue. Food was ok.
Lukas LimCheeHao,a year ago,Not the best Nasi Lemak I've had. But it is a cheaper option with quite a turnover rate. People all walks of life come here and to eat and go. The cats are the main attraction of the eatery
Md Saipol Mustar,a year ago,"This is my 1st time, overall is okay "
Ruhaizah Mohamed,a year ago,System ok.Cuma parking susah.Tempat letak kereta: Kurang tmpt parking
Azlina Rosli,a year ago,Layanan kakitangan dan perhitmatan tak .makanan mahal X memuaskan..tu first and last makan kat situ.
